id,name,Description,groupIconUrl,individualIconUrl,photoUrl,range,penetration,altitude
92,76mm HEAT,,,,,650,280,0
93,76mm HESH,,,,,2200,100,0
94,85mm HEAT,,,,,1150,260,0
95,85mm Rifled Gun,,,,,1100,145,0
96,90mm HEAT,,,,,1600,120,0
97,HOT 3,,,,,2000,880,0
98,155mm Howitzer,,,,,30000,90,0
99,ATACMS Missile,,,,,300000,800,0
100,PKT,,,,,1000,8,0
101,30mm Cannon,,,,,4000,25,0
102,23mm Cannon,,,,,2000,25,0
103,12.7mm,,,,,1800,19,0
104,27mm Cannon,,,,,4000,25,0
105,20mm Cannon,,,,,2000,32,0
106,AGM-65B Maverick,,,,,25000,1300,0
107,Brimstone,,,,,20000,1500,0
108,AT-6B HEAT,,,,,7000,1100,0
109,AT-6C HEAT,,,,,7000,1100,0
110,AT-16 HEAT,,,,,10000,1200,0
111,Kh-29; Kedge,,,,,30000,1500,0
112,Hermes-A multirole,,,,,18000,1300,0
113,AS30L,,,,,11000,1300,0
114,AGM-65B Maverick,,,,,25000,1300,0
115,AGM-114 Hellfire HEAT,,,,,8000,1000,0
116,Kh-31; Krypton,,,,,110000,0,0
117,Kh-25ML,,,,,10000,0,0
118,AS-12; Sea Skua,,,,,7000,0,0
119,AM39 Exocet,,,,,1800000,0,0
120,Sea Eagle,,,,,110000,0,0
121,AGM 84 Harpon,,,,,124000,0,0
122,Saab RBS15F,,,,,250000,0,0
123,R-73M1; Archer,,,,,30000,0,0
124,R-27; Adder,,,,,104000,0,0
125,AIM-9L Sidewinder,,,,,17000,0,0
126, AIM-92 Stinger,,,,,8000,0,0
127,AIM-120 AMRAAM,,,,,75000,0,0
128,Ataka 9A2200,,,,,6000,0,0
129,Igla-Super,,,,,6000,0,0
130,Aphid R-60M,,,,,8000,0,0
131,"R-60M, Aphid",,,,,8000,0,0
132,Hermes-A multirole,,,,,18000,0,0
133,3M9M3 SAM,,,,,25000,0,14000
134,5V27DE SAM,,,,,35000,0,18300
135,9K310 SAM,,,,,5200,0,3500
136,9K32M SAM,,,,,5000,0,4500
137,9K34 SAM,,,,,6000,0,6000
138,9M31 SAM,,,,,4200,0,3500
139,9M311M SAM,,,,,10000,0,6000
140,9M317 SAM,,,,,42000,0,25000
141,9M331 SAM,,,,,12000,0,6000
142,9M38M1 SAM,,,,,36000,0,22000
143,9M39 SAM,,,,,6000,0,3500
144,9M8M2 SAM,,,,,50000,0,24500
145,FIM-92C SAM,,,,,8000,0,3500
146,S-200D SAM,,,,,400000,0,30000
147,S-300PM SAM,,,,,75000,0,25000
148,S-300PMU1 SAM,,,,,150000,0,27000
149,S-400 SAM,,,,,400000,0,50000
150,V750K SAM,,,,,60000,0,30000
151,9M333 SAM,,,,,5000,0,3500
152,9P35M2 SAM,,,,,10000,0,5000
153,Mistral SAM,,,,,6000,0,3000
154,23mm  quad auto-cannon,,,,,2500,0,1500
155,57mm  twin auto-cannon,,,,,4000,0,4237
156,35mm  twin auto-cannon,,,,,4000,0,3100
157,30mm twin auto-cannon,,,,,4000,0,3000
158,23mm  dual auto-cannon,,,,,2500,0,1500
159,CSS-N-8 Saccade,,,,,120000,0,0
160,FL-3000N,,,,,9000,0,6000
161,RBU-6000,,,,,6000,0,0
162,YJ-62,,,,,280000,0,0
163,HQ-9,,,,,200000,0,27000
164,Yu-7,,,,,14000,0,0
165,SA-N-10 Grouse,,,,,6000,0,3500
166,SS-N-16 Stallion,,,,,100000,0,0
167,30mm CIWS,,,,,5000,55,0
168,76mm,,,,,19000,280,0
169,130mm,,,,,29000,460,0
170,30mm AGL,,,,,1200,10,0
